Newtonmeter Volt[V] Ampere[A] Efficiency RotationsPerMinute[RPM] Power[W]
8.253 11.85853 1.28508 0.65583 4104.25119 114.01065
8.334 12.56634 1.98919 0.53476 4105.1454 114.86239
8.41 12.62408 2.49809 0.27707 4105.47053 114.92491
8.41 13.23785 2.66479 1.17834 4106.18473 114.97737
8.501 14.00303 3.0574 0.73234 4106.84457 115.55985
8.527 13.00583 3.899 0.66922 4107.5453 116.07514
8.620999999999999 12.82467 4.46187 1.41977 4108.04734 116.81142
8.704999999999998 12.53531 5.4113 0.54977 4108.81569 117.45004
8.795999999999998 12.04835 6.26961 1.15332 4108.98811 118.23614
8.840999999999998 11.17848 6.34098 0.37894 4109.61339 119.05986
8.909999999999998 10.21159 7.2182 0.99927 4109.97535 119.11577
8.999999999999998 10.90341 7.65834 0.94296 4110.12363 119.88679
9.085999999999999 11.70787 8.30563 0.17545 4110.96626 120.51302
9.089999999999998 12.67309 9.01934 0.35816 4111.36032 121.19589
9.138999999999998 12.92578 9.76888 -0.5097 4111.49878 122.13967
9.230999999999998 12.9795 9.84197 -0.05125 4111.72742 122.75316
9.293999999999999 13.11116 8.99363 0.68375 4112.39242 123.40967
9.344999999999999 13.323 8.21817 0.94727 4113.08693 123.69938
9.384999999999998 13.75008 7.34685 0.45606 4113.94723 124.55676
9.424999999999997 14.58851 6.5102 1.10492 4114.15408 125.09359
9.499999999999996 14.07145 5.74271 0.3564 4114.94506 125.48784
9.571999999999996 13.61866 4.79436 1.20382 4115.30327 126.0184
9.650999999999996 13.33702 4.35457 0.67107 4116.19223 126.77019
9.709999999999996 12.75294 3.63324 1.64051 4117.0462 126.95857
9.714999999999996 12.15454 3.02493 0.94876 4117.08652 127.69916
9.742999999999997 11.84137 2.45332 0.60352 4117.12838 127.76949
9.744999999999997 11.37106 1.58292 0.03538 4118.01144 128.68714
9.773999999999997 10.72237 0.77068 0.25272 4118.12481 129.09593
9.828999999999997 11.65579 0.52083 -0.71264 4118.94023 129.40935
9.872999999999998 11.76789 1.26108 0.11741 4118.97135 130.07461
9.924999999999997 12.19669 2.08656 0.57699 4119.20481 130.48609
9.940999999999997 12.52197 2.75421 -0.263 4119.73139 131.15384
