NM Volt Ampere Efficiency RotationsPerMinute Power
3.9299999999999997 13.22544 1.71747 -0.11711 1772.30904 38.33696
4.0009999999999994 12.52862 0.8791 -0.10585 1772.90099 38.85558
4.06 12.45454 0.20924 0.83517 1773.20295 39.04454
4.095999999999999 11.54436 0.95025 0.87135 1773.54419 39.98939
4.100999999999999 11.16947 1.86248 0.99874 1774.4564 40.34489
4.110999999999999 10.78114 2.77607 0.35438 1775.04298 41.10231
4.1389999999999985 10.29554 3.26556 1.01195 1775.09112 41.7024
4.220999999999998 10.12265 4.01812 0.81029 1775.71724 41.81963
4.227999999999998 10.88018 4.90375 0.4494 1775.92198 42.27953
4.282999999999998 11.64502 5.1501 0.38499 1776.84989 42.53037
4.379999999999998 11.79466 5.36784 0.27324 1777.35645 42.59443
4.474999999999998 12.64969 6.24967 0.98507 1777.74833 42.7637
4.531999999999998 13.48845 6.37612 0.34033 1777.86934 43.04047
4.583999999999998 14.14493 6.67823 1.12236 1778.6624 43.46473
4.605999999999998 14.88689 7.24462 0.65408 1779.40473 44.21625
4.641999999999998 14.43139 7.55484 1.39572 1779.74974 44.71815
4.688999999999997 13.44724 7.66523 1.38222 1780.11425 45.52843
4.742999999999998 13.14835 7.90875 1.20721 1780.64531 45.99263
4.829999999999997 12.84504 8.16149 0.69583 1781.22992 46.85628
4.834999999999997 12.14568 8.68627 0.52648 1781.43886 47.71504
4.861999999999997 11.33808 9.56839 1.39976 1782.06451 47.87308
4.923999999999998 10.54964 8.79146 1.20415 1782.08276 48.14818
5.022999999999998 10.33048 8.61854 0.69268 1782.36202 48.65516
5.048999999999998 10.98002 8.0638 0.58193 1783.33057 48.90032
5.112999999999998 11.51037 7.09197 0.31029 1783.54473 49.16469
5.177999999999998 12.03943 6.10354 0.11513 1783.6069 49.78843
5.214999999999998 12.25124 5.47625 1.1134 1784.42834 50.35868
5.262999999999998 13.20334 4.79037 0.17241 1784.87721 50.73914
5.355999999999998 13.84326 4.36672 0.53871 1785.74947 51.14074
5.357999999999998 14.79953 3.5485 -0.36541 1786.74444 51.4316
5.386999999999998 14.88131 3.00795 -0.11532 1787.19936 51.47296
5.438999999999997 14.58651 2.82743 0.77674 1788.05553 52.45495
5.533999999999997 14.48651 2.70626 0.79617 1788.553 52.63326
5.571999999999997 13.74976 2.42487 -0.09794 1789.02162 53.23756
5.608999999999997 13.39795 2.14515 0.6203 1789.92271 53.80319
5.625999999999998 12.81546 2.13484 0.78697 1790.57262 54.12103
5.642999999999998 12.40148 2.09219 0.43513 1790.6539 54.16797
5.689999999999998 12.17873 1.94771 0.41565 1790.69174 55.05124
5.782999999999998 12.08305 1.38842 0.05918 1791.56275 55.73711
5.785999999999998 11.32797 0.50305 0.41581 1791.58699 56.55233
5.838999999999998 10.96551 0.25741 -0.23398 1791.76609 56.59222
5.895999999999998 10.39778 0.23698 -0.04601 1791.95837 56.96198
5.924999999999998 11.01093 0.57167 0.10941 1792.61126 57.7224
5.991999999999998 11.20196 1.27728 0.85591 1792.92263 57.74619
6.049999999999998 11.32724 2.10422 0.05266 1793.87591 58.43179
6.093999999999998 12.21651 2.72516 0.91643 1794.54624 58.97206
6.178999999999998 13.10357 3.5842 0.37247 1795.17106 59.26819
6.2479999999999976 13.64214 4.08794 0.12578 1795.27738 59.32328
6.267999999999997 13.7149 4.61928 1.06344 1795.89434 60.2576
6.339999999999997 14.67663 4.79972 0.83724 1796.59329 61.12515
6.387999999999997 14.34939 5.09759 0.45123 1796.9886 61.29254
6.451999999999997 13.3852 5.39135 0.16068 1797.04421 62.28838
6.507999999999997 13.09952 6.07527 0.73539 1797.34785 63.20336
6.537999999999998 12.18923 6.16177 0.91787 1797.98256 63.618
6.584999999999997 11.67747 6.78022 0.96237 1798.6844 64.43391
6.678999999999998 11.62172 6.96139 0.45598 1799.30393 65.14584
6.756999999999998 10.65027 7.94454 1.32057 1800.29147 65.57178
6.788999999999998 11.43723 8.43407 1.019 1800.96093 66.14532
6.8649999999999975 12.39676 8.85585 0.97251 1801.55728 66.4829
6.959999999999997 13.10175 9.22054 0.46328 1802.01337 67.11117
7.044999999999997 13.18816 9.62836 0.44713 1802.55076 67.60506
7.075999999999997 13.80205 9.96824 0.40984 1803.36664 67.94042
7.112999999999997 14.60504 9.59865 0.35377 1804.24802 68.07353
7.194999999999997 14.7256 9.07097 0.27916 1804.5871 68.5278
7.2129999999999965 14.94283 9.02141 0.80437 1805.34014 69.2805
7.298999999999997 14.97747 8.45846 0.02095 1806.02978 69.52993
7.304999999999997 14.47426 8.17311 0.32813 1806.18482 70.33529
7.313999999999997 13.56346 7.5221 -0.584 1806.26503 71.04683
7.396999999999998 13.17354 7.24882 -0.43356 1806.78056 71.86768
7.488999999999997 13.04022 6.36593 0.32075 1807.14353 72.73387
7.4979999999999976 12.57948 6.09116 0.67118 1807.53654 72.82964
7.562999999999998 12.44492 5.54867 0.90887 1808.3683 73.16301
7.563999999999998 11.53708 5.47603 -0.04257 1808.87505 73.64878
7.583999999999998 11.34053 4.54382 0.04445 1809.5634 74.29898
7.624999999999998 10.49229 3.91261 0.4034 1809.58129 74.78125
7.632999999999998 10.12958 3.29129 0.50435 1809.92501 74.99239
7.668999999999998 11.03055 2.96793 -0.25898 1810.4737 75.74825
7.694999999999998 11.10951 2.91575 0.12658 1810.54667 75.93215
7.749999999999997 11.1704 2.65988 0.14921 1811.09014 76.34723
7.821999999999997 11.89902 2.37975 0.92366 1811.98003 77.29986
7.894999999999998 12.26671 1.55694 0.36126 1812.20182 78.11838
7.932999999999998 12.30444 1.38864 0.27897 1812.7002 78.26363
7.979999999999998 13.2272 1.26078 0.08795 1813.27341 79.12127
8.054999999999998 13.76319 0.60137 0.30003 1813.61234 80.0089
8.056999999999999 14.72874 0.25712 0.53632 1814.47402 80.4646
8.123999999999999 14.95774 0.7952 0.02491 1814.88182 80.86815
8.168 14.23678 1.12764 0.45382 1815.1992 81.15611
8.187 13.62073 2.11605 0.87079 1816.09 81.95189
8.221 12.84212 2.43975 0.72612 1817.03249 82.4168
8.282 11.99435 2.73384 0.63211 1817.42442 82.57598
8.305 11.88567 3.41927 1.27442 1818.36938 83.10304
8.328999999999999 11.65447 3.77048 0.98941 1818.63198 84.07185
8.418 11.11525 4.34872 0.93032 1818.9165 84.91498
8.481 10.34674 4.3813 1.9015 1819.05673 85.86129
8.513 10.17173 5.12655 1.49142 1819.34299 86.15013
8.525 10.10625 5.6074 0.96883 1820.22531 86.99784
8.556000000000001 10.7629 6.07301 0.69205 1820.76326 87.53133
8.642000000000001 11.53834 6.93146 0.14834 1821.25716 88.47492
8.706000000000001 11.93431 7.1793 0.89391 1821.89701 88.73354
8.740000000000002 12.58162 7.20754 0.2989 1822.77736 89.09727
8.769000000000002 12.61023 7.81729 0.93235 1822.81217 89.33137
8.777000000000001 12.71883 8.74222 0.59814 1822.88979 89.71302
8.857000000000001 13.28919 9.04797 0.55023 1823.22757 90.50732
8.874 14.16026 9.44328 1.16168 1823.62303 90.59842
8.928 13.1734 9.66271 0.40392 1824.61596 91.29642
8.963000000000001 13.09397 9.73366 0.25649 1825.35437 91.37958
8.969000000000001 12.63685 8.83754 0.1293 1825.64649 91.57178
8.973 12.23639 8.6052 0.72883 1826.44383 92.13981
9.044 11.49425 8.32354 0.41882 1827.30286 92.51773
9.099 10.94154 8.10866 0.89001 1828.18257 92.72891
9.163 10.45111 7.51802 0.98724 1828.72643 93.58881
9.174 11.25613 7.0546 0.05491 1829.53004 93.84166
9.205 11.58123 6.77393 0.23913 1830.19468 94.15352
9.234 12.37218 6.74824 0.76985 1830.91844 94.92502
9.295 13.08451 6.62512 0.8552 1831.58885 95.07895
9.325 13.2582 5.7212 0.97875 1832.38215 95.51883
9.424 14.1099 4.91851 0.42252 1833.34514 95.83666
9.522 14.34166 4.76493 1.04527 1833.47189 96.56673
9.546 14.87086 4.31635 0.76192 1833.68348 97.51995
9.620999999999999 14.34911 3.90347 0.57403 1834.66911 98.13879
9.693999999999999 13.98455 3.70613 1.50302 1835.5444 98.3153
9.76 13.47514 2.77175 1.12666 1836.4663 99.14447
9.793 13.01891 2.56348 0.81143 1837.04888 99.185
9.889999999999999 12.12354 2.36329 0.51421 1837.98177 100.05602
9.979999999999999 11.77626 2.0398 1.25547 1838.41001 100.64538
10.037999999999998 11.26685 1.65019 0.37908 1839.15312 101.48328
